TD 48 Sig max, 27.4074 ,0.4942  Noise rmsd, 0.65572 ,0.11807 Linewidth (Hz), 35.7626 ,0.72077 S/N, 42.4234 ,8.0066 S/N/sqrt(td), 6.1233 , t1max, 0.024
TD 80 Sig max, 43.199 ,0.63688  Noise rmsd, 0.86543 ,0.11792 Linewidth (Hz), 21.8967 ,0.36317 S/N, 50.2882 ,7.1514 S/N/sqrt(td), 5.6224 , t1max, 0.04
TD 112 Sig max, 56.9602 ,0.74118  Noise rmsd, 1.0328 ,0.1196 Linewidth (Hz), 16.0262 ,0.23836 S/N, 55.4102 ,6.5463 S/N/sqrt(td), 5.2358 , t1max, 0.056
TD 144 Sig max, 69.1556 ,0.83373  Noise rmsd, 1.1777 ,0.12266 Linewidth (Hz), 12.7464 ,0.18712 S/N, 58.9413 ,6.2774 S/N/sqrt(td), 4.9118 , t1max, 0.072
TD 176 Sig max, 80.0356 ,0.93144  Noise rmsd, 1.3038 ,0.12016 Linewidth (Hz), 10.6601 ,0.15578 S/N, 61.527 ,5.7983 S/N/sqrt(td), 4.6378 , t1max, 0.088
TD 208 Sig max, 89.739 ,1.0196  Noise rmsd, 1.4231 ,0.12 Linewidth (Hz), 9.2163 ,0.13132 S/N, 63.1588 ,5.4247 S/N/sqrt(td), 4.3793 , t1max, 0.104
TD 240 Sig max, 98.454 ,1.0825  Noise rmsd, 1.5324 ,0.12135 Linewidth (Hz), 8.1646 ,0.12204 S/N, 64.3222 ,5.1609 S/N/sqrt(td), 4.152 , t1max, 0.12
TD 272 Sig max, 106.263 ,1.1771  Noise rmsd, 1.6334 ,0.12171 Linewidth (Hz), 7.3708 ,0.10884 S/N, 65.1114 ,4.9463 S/N/sqrt(td), 3.948 , t1max, 0.136
TD 304 Sig max, 113.2609 ,1.2427  Noise rmsd, 1.7261 ,0.1217 Linewidth (Hz), 6.7502 ,0.1023 S/N, 65.6567 ,4.7291 S/N/sqrt(td), 3.7657 , t1max, 0.152
TD 336 Sig max, 119.567 ,1.2987  Noise rmsd, 1.8164 ,0.11889 Linewidth (Hz), 6.2459 ,0.095198 S/N, 65.835 ,4.4046 S/N/sqrt(td), 3.5916 , t1max, 0.168
TD 368 Sig max, 125.2405 ,1.3611  Noise rmsd, 1.9026 ,0.12101 Linewidth (Hz), 5.8439 ,0.094341 S/N, 65.8266 ,4.2605 S/N/sqrt(td), 3.4314 , t1max, 0.184
TD 400 Sig max, 130.3603 ,1.3911  Noise rmsd, 1.9874 ,0.12187 Linewidth (Hz), 5.5063 ,0.094338 S/N, 65.5909 ,4.0943 S/N/sqrt(td), 3.2795 , t1max, 0.2
TD 432 Sig max, 135.0041 ,1.4761  Noise rmsd, 2.0633 ,0.11994 Linewidth (Hz), 5.2252 ,0.090279 S/N, 65.41 ,3.8904 S/N/sqrt(td), 3.147 , t1max, 0.216
TD 464 Sig max, 139.2145 ,1.5199  Noise rmsd, 2.1371 ,0.1217 Linewidth (Hz), 4.9836 ,0.090129 S/N, 65.1189 ,3.789 S/N/sqrt(td), 3.0231 , t1max, 0.232
TD 496 Sig max, 142.9761 ,1.5435  Noise rmsd, 2.2126 ,0.12196 Linewidth (Hz), 4.7812 ,0.089309 S/N, 64.5892 ,3.6473 S/N/sqrt(td), 2.9001 , t1max, 0.248
TD 528 Sig max, 146.3851 ,1.6231  Noise rmsd, 2.2892 ,0.12042 Linewidth (Hz), 4.6048 ,0.087942 S/N, 63.9037 ,3.4563 S/N/sqrt(td), 2.7811 , t1max, 0.264
TD 560 Sig max, 149.4924 ,1.6823  Noise rmsd, 2.3525 ,0.11996 Linewidth (Hz), 4.4511 ,0.08658 S/N, 63.4998 ,3.3154 S/N/sqrt(td), 2.6834 , t1max, 0.28
TD 592 Sig max, 152.3419 ,1.6806  Noise rmsd, 2.4214 ,0.1232 Linewidth (Hz), 4.3202 ,0.087519 S/N, 62.8729 ,3.2867 S/N/sqrt(td), 2.5841 , t1max, 0.296
TD 624 Sig max, 154.918 ,1.7766  Noise rmsd, 2.4888 ,0.1222 Linewidth (Hz), 4.2029 ,0.08657 S/N, 62.1958 ,3.1633 S/N/sqrt(td), 2.4898 , t1max, 0.312
TD 656 Sig max, 157.3012 ,1.7842  Noise rmsd, 2.548 ,0.12357 Linewidth (Hz), 4.0988 ,0.088473 S/N, 61.6823 ,3.0655 S/N/sqrt(td), 2.4083 , t1max, 0.328
TD 688 Sig max, 159.4603 ,1.8425  Noise rmsd, 2.6134 ,0.12027 Linewidth (Hz), 4.0094 ,0.090605 S/N, 60.956 ,2.9143 S/N/sqrt(td), 2.3239 , t1max, 0.344
TD 720 Sig max, 161.4639 ,1.8886  Noise rmsd, 2.6729 ,0.12218 Linewidth (Hz), 3.9299 ,0.090648 S/N, 60.347 ,2.859 S/N/sqrt(td), 2.249 , t1max, 0.36
TD 752 Sig max, 163.2011 ,1.9337  Noise rmsd, 2.7342 ,0.12156 Linewidth (Hz), 3.8571 ,0.091809 S/N, 59.6241 ,2.7545 S/N/sqrt(td), 2.1743 , t1max, 0.376
TD 784 Sig max, 164.8668 ,1.9823  Noise rmsd, 2.7904 ,0.12297 Linewidth (Hz), 3.7951 ,0.093115 S/N, 59.0208 ,2.7112 S/N/sqrt(td), 2.1079 , t1max, 0.392
TD 816 Sig max, 166.3199 ,2.0144  Noise rmsd, 2.8465 ,0.12243 Linewidth (Hz), 3.7381 ,0.09617 S/N, 58.362 ,2.6009 S/N/sqrt(td), 2.0431 , t1max, 0.408
TD 848 Sig max, 167.7134 ,2.0382  Noise rmsd, 2.8996 ,0.12089 Linewidth (Hz), 3.6866 ,0.095399 S/N, 57.7699 ,2.5267 S/N/sqrt(td), 1.9838 , t1max, 0.424
TD 880 Sig max, 169.0496 ,2.0622  Noise rmsd, 2.9585 ,0.12261 Linewidth (Hz), 3.6387 ,0.098519 S/N, 57.0699 ,2.4785 S/N/sqrt(td), 1.9238 , t1max, 0.44
TD 912 Sig max, 170.3065 ,2.1553  Noise rmsd, 3.0098 ,0.12088 Linewidth (Hz), 3.5982 ,0.098218 S/N, 56.507 ,2.378 S/N/sqrt(td), 1.8711 , t1max, 0.456
TD 944 Sig max, 171.339 ,2.1747  Noise rmsd, 3.0635 ,0.12198 Linewidth (Hz), 3.5616 ,0.098298 S/N, 55.8535 ,2.3175 S/N/sqrt(td), 1.8179 , t1max, 0.472
TD 976 Sig max, 172.3495 ,2.2171  Noise rmsd, 3.1161 ,0.12145 Linewidth (Hz), 3.5295 ,0.10077 S/N, 55.2328 ,2.2562 S/N/sqrt(td), 1.768 , t1max, 0.488
TD 1008 Sig max, 173.2713 ,2.2815  Noise rmsd, 3.1624 ,0.11974 Linewidth (Hz), 3.498 ,0.10235 S/N, 54.7125 ,2.2 S/N/sqrt(td), 1.7233 , t1max, 0.504
TD 1040 Sig max, 174.1355 ,2.31  Noise rmsd, 3.2139 ,0.12158 Linewidth (Hz), 3.4714 ,0.1043 S/N, 54.1034 ,2.1535 S/N/sqrt(td), 1.6777 , t1max, 0.52
TD 1072 Sig max, 174.9247 ,2.2977  Noise rmsd, 3.2666 ,0.12382 Linewidth (Hz), 3.4466 ,0.10464 S/N, 53.4739 ,2.1512 S/N/sqrt(td), 1.6332 , t1max, 0.536
TD 1104 Sig max, 175.6762 ,2.3606  Noise rmsd, 3.3145 ,0.12205 Linewidth (Hz), 3.4212 ,0.10617 S/N, 52.9239 ,2.0872 S/N/sqrt(td), 1.5928 , t1max, 0.552
TD 1136 Sig max, 176.3586 ,2.4221  Noise rmsd, 3.3623 ,0.12116 Linewidth (Hz), 3.4004 ,0.10793 S/N, 52.3711 ,2.0256 S/N/sqrt(td), 1.5538 , t1max, 0.568
TD 1168 Sig max, 176.9693 ,2.4398  Noise rmsd, 3.4097 ,0.12444 Linewidth (Hz), 3.3862 ,0.1106 S/N, 51.824 ,2.0146 S/N/sqrt(td), 1.5164 , t1max, 0.584
TD 1200 Sig max, 177.6374 ,2.4462  Noise rmsd, 3.4553 ,0.11972 Linewidth (Hz), 3.3653 ,0.11084 S/N, 51.3274 ,1.9265 S/N/sqrt(td), 1.4817 , t1max, 0.6
TD 1232 Sig max, 178.1276 ,2.4379  Noise rmsd, 3.4999 ,0.12279 Linewidth (Hz), 3.3505 ,0.11113 S/N, 50.815 ,1.9141 S/N/sqrt(td), 1.4477 , t1max, 0.616
TD 1264 Sig max, 178.6553 ,2.5102  Noise rmsd, 3.5473 ,0.12339 Linewidth (Hz), 3.3367 ,0.11019 S/N, 50.2834 ,1.8766 S/N/sqrt(td), 1.4143 , t1max, 0.632
TD 1296 Sig max, 179.2387 ,2.5223  Noise rmsd, 3.5952 ,0.1227 Linewidth (Hz), 3.3202 ,0.11489 S/N, 49.7741 ,1.8445 S/N/sqrt(td), 1.3826 , t1max, 0.648
TD 1328 Sig max, 179.7002 ,2.6064  Noise rmsd, 3.6373 ,0.12391 Linewidth (Hz), 3.303 ,0.11452 S/N, 49.3251 ,1.8404 S/N/sqrt(td), 1.3535 , t1max, 0.664
TD 1360 Sig max, 180.1112 ,2.5934  Noise rmsd, 3.6787 ,0.12114 Linewidth (Hz), 3.2937 ,0.11633 S/N, 48.8775 ,1.756 S/N/sqrt(td), 1.3254 , t1max, 0.68
TD 1392 Sig max, 180.4959 ,2.6612  Noise rmsd, 3.7234 ,0.12314 Linewidth (Hz), 3.2802 ,0.1149 S/N, 48.3942 ,1.7522 S/N/sqrt(td), 1.2971 , t1max, 0.696
TD 1424 Sig max, 180.8376 ,2.7115  Noise rmsd, 3.7681 ,0.11913 Linewidth (Hz), 3.2731 ,0.11847 S/N, 47.9082 ,1.6863 S/N/sqrt(td), 1.2696 , t1max, 0.712
TD 1456 Sig max, 181.2216 ,2.7086  Noise rmsd, 3.8057 ,0.12233 Linewidth (Hz), 3.2628 ,0.1178 S/N, 47.535 ,1.6695 S/N/sqrt(td), 1.2458 , t1max, 0.728
TD 1488 Sig max, 181.5796 ,2.7265  Noise rmsd, 3.8472 ,0.12202 Linewidth (Hz), 3.2542 ,0.12026 S/N, 47.1147 ,1.6561 S/N/sqrt(td), 1.2214 , t1max, 0.744
TD 1520 Sig max, 181.9436 ,2.7069  Noise rmsd, 3.8922 ,0.12193 Linewidth (Hz), 3.2448 ,0.11992 S/N, 46.6628 ,1.6233 S/N/sqrt(td), 1.1969 , t1max, 0.76
TD 1552 Sig max, 182.167 ,2.8046  Noise rmsd, 3.9368 ,0.12395 Linewidth (Hz), 3.2353 ,0.11948 S/N, 46.191 ,1.6156 S/N/sqrt(td), 1.1725 , t1max, 0.776
